Namn,I Blåvitt,Matcher,Mål,Allsvenska Matcher,Allsvenska Mål
FERNELL Lars,1967-1968,2,1,0,0
NIKLASSON Donald,1967-1978,335,25,63,1
ENGSTRÖM Ove,"1968, 1970-1971",69,3,15,1
JAGLER Bo,1968-1969,36,1,17,1
LIND Eive,1968-1969,2,0,0,0
NILSSON Stellan,1968-1972,82,7,10,0
OSKARSSON Börje,1968-1972,131,33,41,7
SVÄRD Ulf,1968-1969,3,1,0,0
ALGEBÄCK Gunde,1969-1972,4,1,0,0
FALK Stig,1969-1971,7,0,0,0
NILSSON Lars-Erik,1969-1970,4,2,1,0
JOHANNESSON Bengt,"1970, 1972",3,0,0,0
LAGER Kjell,1970,2,0,2,0
LUNDBERG Claes-Enar,1970-1971,17,0,0,0
NORDSTRÖM Jan,"1970-1971, 1974-1978",192,3,35,0
PROFOZIC Toni,1970-1971,5,1,0,0
ÖSTLUND Dan,1970-1974,131,49,5,1
ANDRÉN Kenny,1971,6,0,0,0
BLOMQVIST Rolf,1971-1975,104,0,0,0
EKMAN Björn,1971,1,0,0,0
HELLSTRÖM Torbjörn,1971,1,0,0,0
HÄGGLUND Per,1971,2,0,0,0
KARLSSON Arne,1971,21,4,0,0
OLAUSSON Reine,1971-1980,386,25,90,1
OLOFSSON Mats,1971-1972,9,0,0,0
SANDGREN Lars,1971,9,0,0,0
SVENSSON Jan-Åke,1971-1973,34,4,0,0
AUGUSTSSON Kenth,1972-1973,48,7,0,0
BENDER Jan,1972,1,0,0,0
BERGENDAHL Hans,1972,1,0,0,0
BLOM Ralf,1972-1975,92,8,0,0
DANIELSSON Sten,"1972, 1974-1975",60,10,0,0
JARKVIST Björn,1972-1974,50,3,0,0
JOHANNESSON Lars,1972,1,0,0,0
JOHANSSON Torgny,1972-1976,55,10,0,0
KARLSSON Leif,1972,1,0,0,0
LARSSON Lars,1972-1974,6,0,0,0
MOLÉN Johnny,1972-1973,50,15,0,0
WIKLANDER Tonie,1972,3,0,0,0
ÖSTERMAN Esbjörn,1972-1973,32,6,0,0
ANDERSSON Anders,1973,1,0,0,0
ANDERSSON Georg,1973-1975,21,3,0,0
ANDERSSON Leif,1973-1974,44,7,0,0
ANDERSSON Stefan,1973-1975,64,10,0,0
FLOBRANT Douglas,1973,7,0,0,0
FORSBERG Bertil,1973,2,1,0,0
JACOBSSON Sven,1973,1,0,0,0
JOHANSSON Ove,1973,1,0,0,0
KAHNBERG Håkan,1973,1,0,0,0
KRISTENSEN Bengt,1973-1976,36,1,0,0
LANDGREN Anders,"1973-1974, 1976",3,1,0,0
LARSSON Sven,1973-1974,33,6,0,0
LINDSTRÖM Eje,1973-1975,35,10,0,0
MYRANDER Anders,1973-1974,3,0,0,0
NILSSON Erik,1973-1979,173,32,17,2
OLSSON Bengt,1973,1,0,0,0
STENSSON Börje,1973-1974,5,0,0,0
SUNDH Kjell,1973-1974,48,4,0,0
WÄTTRING Stefan,1973-1974,2,0,0,0
ANDERSSON Bo,1974-1977,81,0,13,0
ANDERSSON Kent,1974,1,0,0,0
CANEFUR Sören,1974,1,0,0,0
CARLSSON Jerry,1974-1987,536,75,179,14
KARLSSON Lars,1974-1977,15,0,0,0
KARLSSON Sten,1974,1,0,0,0
LEKSJÖ Conny,1974-1976,5,0,0,0
LIND Johann,"1974, 1976",3,0,0,0
ANDERSSON Raymond,1975,1,0,0,0
KARLSSON Conny,1975-1982,401,10,143,0
KINDVALL Ove,1975-1978,107,56,21,3
MAGNUSSON Eddy,1975-1977,110,33,7,0
NILSSON Torbjörn,"1975-1976, 1977-1982, 1984-1986",444,329,153,88
NORDQVIST Björn,1975-1978,146,2,47,0
OTTORDAHL Lennart,1975-1979,103,27,17,2
ROSENGREN Peter,1975-1976,7,0,0,0
ALBO Rein,1976-1978,82,1,25,0
CHRISTOFFERSSON Tage,1976-1979,15,0,3,0
GERDTHAM Mats,1976,2,0,0,0
JANSSON Kent,1976,1,0,0,0
JOHANSSON Lars-Inge,1976,7,1,0,0
NILSSON Jan,1976-1978,130,78,38,9
SVÄRDEGÅRD Peter,1976,1,0,0,0
AHLBERG Anders,1977-1980,71,11,30,5
EDSTRÖM Ralf,1977-1979,58,28,37,14
HOLM Glenn,1977-1983,237,60,109,19
HOLMGREN Tommy,1977-1989,512,69,213,19
HOLMGREN Tord,1977-1987,502,52,217,22
NORDIN Olle,1977-1980,138,45,69,12
SCHILLER Glenn,1977-1985,294,30,125,16
CORNELIUSSON Dan,1978-1983,165,107,62,29
HYSÉN Glenn,"1978-1983, 1985-1987",332,26,137,12
KARLSSON Bengt-Åke,"1978, 1980",49,0,24,0
SUNDIN Kenneth,1978,1,0,0,0
SVENSSON Ruben,1978-1986,387,48,174,23
LILJEKRANTZ Jan,1979-1981,13,4,0,0
LINDBERG Odd Ivar,1979,47,0,26,0
STRÖMBERG Glenn,1979-1982,203,33,91,7
TENGBERG Ove,1979,1,0,0,0
TORSTENSSON Roland,1979-1980,3,0,0,0
CANEFUR Benny,1980,1,0,0,0
ELOVSSON Göran,1980,1,1,0,0
FREDRIKSSON Stig,1980-1988,363,44,151,12
HANSSON Thomas,1980-1982,18,0,4,0
HOLMBERG Martin,"1980-1983, 1987",52,4,10,2
JOHNSEN Gisle,1980,1,0,0,0
JÖRNVIK Ulf,1980,1,0,0,0
MÖRK Lars,1980-1981,2,0,0,0
ÓLAFSSON Thorsteinn,1980,49,0,25,0
SANDBERG Håkan,1980-1984,165,88,71,34
TOBIASSON Ove,1980-1987,40,0,5,0
WENDT Joakim,1980-1981,42,5,16,0
WERNERSON Thomas,1981-1989,370,1,153,0
ANDERSSON Peter,1982-1985,44,3,12,0
KARLSSON Thomas,1982-1983,14,2,4,0
LARSSON Stefan,1982,1,0,0,0
NILSSON Jan-Erik,1982-1983,14,1,2,0
NILSSON Per-Olof,1982-1983,6,0,0,0
EKSTRÖM Johnny,"1983-1986, 1991-1993, 1997-1998",250,145,80,30
FOLCKER Fredrik,1983,2,0,0,0
GARDNER Steve,1983-1984,63,31,27,7
KULLBERG Stephan,1983-1986,163,1,63,0
NILSSON Roland,1983-1989,272,17,114,7
PHILLIPS Thomas,1983,1,0,0,0
GREN Mats,1984-1985,97,23,41,9
LARSSON Peter,1984-1987,206,31,86,8
LUNDBLAD Torbjörn,1984-1985,27,2,7,1
PETTERSSON Stefan,"1984-1988, 1994-1998",344,114,150,52
SCHILLER Dennis,1984-1987,45,1,6,0
BJUR Sam,1985-1986,11,6,3,1
CARLGREN Ulf,1985,8,2,0,0
JOHANSSON Magnus,1985-1990,233,21,93,9
PRYTZ Robert,1985,17,4,7,2
ANDERSSON Michael,1986-1988,130,31,58,15
CARLSSON Mats-Ola,1986-1988,97,4,40,1
HEDMAN Peter,1986-1987,12,1,0,0
LANSING Thomas,1986,1,0,0,0
MORDT Per Edmund,1986-1993,222,14,72,4
OHTONEN Jukka,1986,1,0,0,0
PALMQUIST Hans,1986,1,0,0,0
RANTANEN Jari,1986-1987,33,11,12,2
FORSBERG Leif,1987-1989,67,11,26,2
FRÖBERG Dan,1987-1988,51,17,14,5
INGESSON Klas,1987-1990,133,36,50,9
MILLQVIST Pär,1987-1988,44,4,7,2
NILSSON Lennart,1987-1990,114,22,52,12
NILSSON Mikael,1987-2001,609,48,284,21
PEWIK Magnus,1987-1989,33,1,5,0
THORSTVEDT Erik,1987-1988,54,0,22,0
ZETTERLUND Lars,1987-1989,134,16,53,7
BÅNG Ulf,1988-1991,95,21,29,5
ERIKSSON Daniel,1988,2,0,0,0
ERIKSSON Peter,"1988-1998, 2002",423,92,156,25
FORTES José,1988,10,1,1,0
LAST Dick,"1988, 1991-1995, 1998-2000",114,0,20,0
MILD Håkan,"1988-1993, 1995-1996, 1998-2001, 2002-2005",459,55,226,25
OLSSON Jonas,"1988-1990, 1992-1998",266,14,113,6
RAVELLI Andreas,1988-1989,91,8,38,1
SVENSSON Ola,1988-1994,272,29,103,12
VERDIN Magnus,1988-1990,29,0,0,0
ANDERSSON Kennet,1989-1991,132,65,59,28
ESKELINEN Kaj,1989-1992,145,64,48,13
HVENFELT Thomas,1989-1995,183,15,32,2
JOHANSSON Gabriel,1989-1991,42,3,8,0
KARLSSON Joacim,1989-1991,27,3,2,0
KÅMARK Pontus,"1989-1995, 2001-2002",330,12,149,4
PEDERSEN Tore,1989-1992,121,2,46,0
RAGNELL Johan,1989,1,0,0,0
RAVELLI Thomas,"1989-1997, 1999",398,0,191,0
STOJCEVSKI Zoran,1989-1993,70,7,6,0
WALLIN Jan,1989-1990,17,0,0,0
JOHANSSON Magnus,"1990-1998, 2003-2007",483,27,211,7
LEKSELL Fredrik,1990-1994,89,23,20,6
LINDQVIST Robert,"1990, 1992",4,0,0,0
MAGNUSSON Dag,1990-1991,7,0,0,0
REHN Stefan,1990-1995,268,69,115,25
BENGTSSON Patrik,1991-1995,98,8,30,3
CABAN Peter,1991,6,0,0,0
LINDQVIST Stefan,"1991-1997, 1999",351,38,161,18
OZANNE Christian,1991,7,0,0,0
ANEGRUND Johan,"1992-1997, 1999",105,4,34,1
BJÖRKLUND Joachim,1992-1995,103,1,47,0
BÖRVE Roberth,1992,3,1,0,0
NORDSTRÖM Marcus,1992,12,0,0,0
ANDERSSON Thomas,1993,6,0,0,0
BLOMQVIST Jesper,1993-1996,136,34,73,18
ERLINGMARK Magnus,1993-2004,517,77,278,43
FLYKT-ROSÉN Johan,1993,1,0,0,0
GALLE Niclas,1993,7,0,0,0
GUSTAFSSON Magnus,1993-1995,63,23,10,3
MAGNUSSON Olof,1993-1998,74,1,18,0
MARTINSSON Mikael,1993-1998,206,59,102,29
WAHLSTEDT Erik,1993-1996,105,24,33,5
ANDERSSON Oscar,1994-1995,2,0,0,0
BRUNBÄCK Andreas,1994,1,0,0,0
BRYNGELSSON Fredrik,1994,5,0,0,0
DAHLQVIST Fredrik,1994-1996,6,0,0,0
HEDÉN Mats,1994-1995,2,0,0,0
JAREFLO Magnus,1994,2,0,0,0
JOHANSSON Per,1994-1996,9,1,0,0
JONSSON Benny,1994,4,0,0,0
LUNDSTRÖM Christian,"1994, 1997",15,2,0,0
ULANDER Martin,"1994-1996, 2005",12,0,4,0
HÅKANSSON Hans,1995,1,0,0,0
JÄRELÖV Sören,1995-1998,50,0,15,0
LANDBERG Stefan,1995-2000,192,12,106,5
LILIENBERG Mats,1995-1996,75,31,29,6
LUCIC Teddy,1995-1998,133,7,58,2
ALEXANDERSSON Niclas,"1996-1997, 2004-2009",298,48,176,32
ANDERSSON Andreas,1996-1997,77,53,39,32
KARLSSON Pär,1996-2000,140,21,64,6
PAULSÉN Jimmy,1996-2003,162,11,80,4
ANDERSSON Patric,"1997-2000, 2002-2004",170,42,96,17
ANDERSSON Robert,1997-1998,41,7,18,3
DAHBO Patrik,1997-1998,3,0,0,0
HENRIKSSON Sebastian,1997-2002,206,45,114,20
HOFFMANN Daniel,1997,2,0,0,0
LUNDSTRÖM Mattias,1997-2001,28,2,1,0
PEHRSSON Magnus,1997-1998,29,5,12,1
PETRAS Alexander,1997-1998,8,0,0,0
SAARINEN Janne,1997-1998,19,2,3,0
STILLER Hannes,"1997, 2009-2013",145,29,104,24
TETTEH Emmanuel,1997-1999,102,35,49,15
ANDERSSON Bengt,1998-2007,402,0,246,0
BÄRLIN Stefan,1998-1999,81,8,40,3
HERMANSSON Andreas,1998-2000,91,30,45,10
HÖGLUND Patrik,1998,1,0,0,0
JOHANSSON Robert,1998-1999,1,0,0,0
KARLSSON Christian,1998-2000,64,1,24,0
PERSSON Joakim,1998-1999,75,9,38,4
WYGLER Magnus,1998-1999,6,0,1,0
ANDERSSON Fredrik,1999-2000,2,0,0,0
HEED Thomas,1999-2001,16,1,0,0
HØILAND Jon Inge,1999-2002,150,5,92,4
LUNDÉN Jonas,1999-2001,97,15,57,7
NEVLAND Erik,1999,12,0,4,0
PEDERSEN Steinar,1999-2001,108,3,53,1
RISP Fredrik,"1999-2005, 2010",197,8,110,4
ANDERSSON Gustaf,2000-2002,105,46,65,25
ANTONSSON Mikael,2000-2004,94,0,52,0
CLAESSON Rickard,2000-2004,19,0,0,0
EL DANA Josef,2000-2001,5,0,0,0
HOLMQVIST Marcus,2000-2003,8,1,3,0
JOHANSSON Sebastian,2000-2005,197,14,106,4
LARSSON Daniel,2000,1,0,0,0
LJUNGHOLM Daniel,2000-2001,6,0,0,0
NICKLASSON Daniel,2000,16,3,4,0
ROSENKVIST Tomas,2000-2004,154,59,93,22
SAMURA Kabba,2000-2002,34,10,16,3
SANDKLEF Mikael,2000-2005,170,15,102,8
ERICSSON Martin,2001-2003,109,17,69,13
TENGWALL Jan,2001-2002,15,1,3,0
VILAHAMN Robert,2001-2003,22,2,9,0
WESTLIN Daniel,2001-2002,28,7,9,0
HENRIKSSON Jonas,2002-2005,131,17,71,6
JONSSON Dennis,2002-2006,108,8,54,5
JÓNSSON Hjálmar,2002-2016,429,14,254,7
RAHMBERG Marino,2002-2004,18,5,7,0
WINGÅRD Axel,2002,6,0,0,0
BLOMQVIST Hans,2003,15,2,9,2
BOO WIKLANDER David,"2003, 2017-2018",55,2,39,1
CROSSA Martín,2003,16,4,10,0
DIALLO Mamadou,2003,17,4,13,3
KOSKINEN Sampo,2003-2004,12,0,1,0
SVENSSON Karl,"2003-2006, 2009-2011",169,14,81,5
THORÉN Fredrik,2003,1,0,0,0
WENDT Oscar,"2003-2006, 2021-2024",207,9,122,5
BAXTER Lee,2004,3,0,0,0
IJEH Peter,2004-2005,69,38,36,13
KWEDI Patrice,2004,4,0,3,0
MOURAD George,2004-2007,128,34,68,14
NILSSON Andreas,2004,11,0,1,0
SMEDBERG DALENCE Martin,"2004-2005, 2014-2017",165,9,86,5
ALVBÅGE John,"2005, 2012-2016",203,0,131,0
ASP Nicklas,2005,1,0,0,0
BERG Jonatan,2005-2008,72,11,26,3
BERG Marcus,"2005-2007, 2021-2023",179,71,118,51
BJÄRSMYR Mattias,"2005-2009, 2012-2017, 2020-2022",464,16,288,12
DE PEDRO Javier,2005,1,0,0,0
GUSTAFSSON Joel,2005,2,0,0,0
JOHANSSON Adam,"2005-2011, 2013-2016",275,4,173,1
KIHLBERG Magnus,2005-2006,39,3,21,2
LYCÉN Tommy,2005,9,1,1,0
ROJAS DIAZ Bastian,"2005, 2007",9,1,0,0
SAGLIK Erkan,2005,2,0,1,0
SELAKOVIC Stefan,2005-2012,328,83,201,41
SVENSSON Gustav,"2005-2010, 2014-2015, 2021-",381,16,256,13
VASQUEZ Andrés,2005-2007,82,6,40,2
WALLERSTEDT Jonas,2005-2008,123,31,74,17
WERNBLOOM Pontus,"2005-2009, 2020-2021",187,55,111,28
WOWOAH Samuel,2005-2006,77,8,40,4
GERBA Ali,2006-2007,23,5,6,0
LAGO Alejandro,2006,14,2,12,2
MAJDANDZIC Vladimir,2006,2,0,0,0
OLSSON Thomas,2006-2011,167,25,99,16
RICHARDSSON Richard,2006,6,0,0,0
ROBINSON Trevor,2006,1,0,0,0
SHAFFER José,2006-2007,10,0,3,0
SSEWANKAMBO Moses,2006,3,0,0,0
BJÖRLUND Petter,2007-2009,7,0,0,0
BÄRKROTH Nicklas,2007-2012,92,8,54,4
DAHLIN Erik,"2007-2012, 2016-2019",84,0,42,0
ERDOGAN Erhan,2007,1,0,0,0
ERIKSSON Sebastian,"2007-2011, 2015-2018, 2019, 2020-2023",368,19,250,13
GUSTAFSSON Oskar,2007,4,0,0,0
HYSÉN Tobias,"2007-2013, 2016-2018",380,141,251,89
JOHANSSON Jakob,"2007-2014, 2020",283,28,181,18
KARIŠIK Eldin,2007-2008,49,1,24,1
NILSSON Robin,2007,1,0,0,0
RANÉGIE Mathias,2007-2008,31,5,14,1
SIGURDSSON Ragnar,2007-2011,202,19,125,12
STENMAN David,2007-2008,5,0,0,0
SVENSSON Jonathan,2007,1,0,0,0
ALEXANDERSSON Daniel,2008-2009,43,3,21,0
CARLSSON Nicklas,2008-2010,42,2,20,0
CHRISTENSEN Kim,2008-2010,105,0,74,0
DYRESTAM Mikael,2008-2013,102,4,67,2
ETÉUS Mathias,2008-2009,9,1,2,0
LUND FAHLÉN Erik,2008-2013,129,3,77,1
MUSTAFA Kamal,2008-2009,9,1,4,0
SELIM Ali,2008,1,0,0,0
SÖDER Robin,"2008-2014, 2018-2021",275,72,186,41
ANDERSSON Mikael,2009,1,0,0,0
ATASHKADEH William,2009-2010,15,5,5,1
BJARNASON Theodor Elmar,2009-2011,94,8,60,4
MARTINSSON Niclas,2009,1,0,0,0
SANA Tobias,"2009-2012, 2019-2022",204,30,129,15
SANDBERG Marcus,"2009-2011, 2012-2015",89,0,43,0
TURUNEN Tuomo,2009-2010,6,0,3,0
ALLANSSON Joel,2010-2014,104,4,61,2
ANDERSEN Niklas,2010,5,0,1,0
AZULAY Jonathan,2010-2014,6,0,1,0
DRUGGE Andreas,2010-2011,37,4,23,1
ERICSSON Pär,2010-2012,39,5,17,1
FALTSETAS Alexander,2010-2011,39,2,20,0
HELGASON Elfar Freyr,2010,1,0,0,0
ISMAIL Lawal,2010-2011,3,0,3,0
JOHANSSON David,2010,1,0,0,0
MBAMBA Chris,2010,1,0,0,0
PAULISTA Jeferson,2010,1,0,0,0
SILVA Bruno,2010,1,0,0,0
VALGARDSSON Hjörtur Logi,2010-2013,71,2,46,0
HAGLUND Philip,2011-2014,100,15,69,8
MOBERG KARLSSON David,2011-2013,47,8,30,2
SALOMONSSON Emil,"2011-2018, 2022-2024",392,41,265,23
BRATT Tobias,2012,1,0,0,0
FARNERUD Pontus,2012-2013,60,9,49,5
GERZIC Nordin,2012-2014,56,5,34,2
LARSSON Sam,2012-2014,81,10,49,6
OHLSSON Sebastian,"2012, 2017-2019, 2023-2024",126,16,89,9
SOBRALENSE Daniel,2012-2014,76,10,43,4
WÆHLER Kjetil,2012-2014,98,6,63,3
ZACKRISSON Hampus,2012-2014,9,0,3,0
AUGUSTINSSON Ludwig,2013-2014,53,3,29,1
BOHM Karl,2013-2015,12,1,1,0
BOJANIC Darijan,2013-2014,21,6,10,2
ENGVALL Gustav,"2013-2016, 2018",113,28,74,17
VIBE Lasse,"2013-2015, 2019",110,57,76,37
CALVO Diego,2014,4,2,3,0
DYRESTAM Patrick,2014-2015,5,0,0,0
GUTIERREZ ARVIDSSON David,2014,1,0,0,0
MAHLANGU May,2014,32,9,24,5
MANÉ Malick,2014,15,1,11,1
NORDSTRÖM Billy,2014-2018,63,2,36,0
RIEKS Søren,2014-2017,136,36,92,21
ZOHORE Kenneth,2014,6,3,5,2
ALBÆK Mads,2015-2017,79,13,48,9
ALEESAMI Haitam,2015-2016,76,3,45,2
ANDERSSON Kevin,2015,1,0,0,0
ANKERSEN Jakob,2015-2016,90,21,57,13
BERGMAN Jakob,2015,1,0,0,0
BOMAN Mikael,2015-2017,115,33,71,18
CRUZ Patrick,2015,1,0,0,0
EDVARDSEN Victor,2015,1,0,0,0
JOHANSSON ZANJANCHI Martin,2015,5,0,0,0
KARLSSON LAGEMYR Patrik,2015-2022,102,16,74,13
KASIM Prosper,2015-2017,12,0,1,0
KINDLUND Oscar,2015-2016,5,0,0,0
LEKSELL Alexander,2015-2016,3,0,1,0
MIKKELSEN Thomas,2015,11,2,9,1
PEARCE Heath,2015,4,0,0,0
PETTERSSON Tom,2015-2016,75,7,44,3
RISKI Riku,2015,12,1,11,1
ROGNE Thomas,2015-2017,94,4,66,1
SABAH Lawson,2015-2020,31,1,13,1
SKÖLD Victor,2015-2016,22,5,8,0
ALBORNOZ Mauricio,2016,7,0,7,0
DAHLBERG Pontus,"2016-2018, 2022-",101,0,67,0
HERMANNSSON Hjörtur,2016,13,1,7,0
JAMIESON Scott,2016-2017,25,0,13,0
ÓMARSSON Elías Már,2016-2018,76,25,50,14
ZIMMERMAN Walker,2016,1,0,0,0
ADEKUGBE Sam,2017,10,0,9,0
BJØRDAL Henrik,2017,17,0,14,0
DA GRACA Kristopher,2017-2020,79,0,51,0
DAHLQVIST Edvin,2017-2019,10,0,1,0
DISKERUD Mix,2017-2018,56,10,41,7
ERLINGMARK August,"2017-2021, 2024-",187,10,131,8
GUNNARSSON Erik,2017-2019,8,0,1,0
RAZAK Abdul,2017,9,0,5,0
SAEBBÖ Måns,"2017, 2019",3,2,1,1
SAKOR Vajebah,2017-2019,41,5,35,5
TITI Adil,2017-2021,32,0,14,0
ZALO Benjamin,2017,2,0,0,0
ÖHMAN Andreas,2017-2018,9,0,1,0
ABRAHAM Sargon,2018-2020,82,10,58,6
AFFANE Amin,2018-2020,59,4,33,1
AMOS Tom,2018-2021,12,0,4,0
CALISIR André,2018-2020,97,2,67,2
DEGERLUND Marcus,2018,5,1,4,0
INGEBRIGTSEN Mikael,2018,12,3,4,0
KHARAISHVILI Giorgi,2018-2021,96,27,70,18
NYGREN Benjamin,2018-2019,28,9,15,6
OLDRUP JENSEN Fredrik,2018,13,0,12,0
OLOFSSON Victor,2018-2019,2,0,0,0
STARFELT Carl,2018-2019,60,1,44,1
WEISBROD Jake,2018-2019,8,0,0,0
WERNERSSON Victor,2018-2020,110,5,77,2
WIKSTRÖM Rasmus,2018-2021,12,2,3,0
YUSUF Alhassan,2018-2021,98,6,66,2
AIESH Hosam,2019-2022,109,12,81,8
ALEXANDERSSON Noah,2019-2022,24,0,12,0
ANESTIS Giannis,2019-2021,116,0,88,0
BARNY Junes,2019,17,0,9,0
BERGLIN Fred,2019,1,0,0,0
HOLM Emil,2019-2020,52,2,37,2
OHLSSON Samuel,2019,2,0,1,0
TOKO Nzuzi,2019-2020,30,0,21,0
VAN ASSEMA Tim,2019-2022,15,0,2,0
VILHELMSSON Oscar,2019-2022,44,7,28,4
DAHLQVIST Isak,2020-2021,13,0,4,0
FARNERUD Alexander,2020,26,5,21,4
JALLOW Alexander,2020-2022,105,3,75,2
KALLEY Yahya,2020-2021,21,0,17,0
KOUAKOU Christian,2020,8,1,7,0
KÅHED Lucas,2020-,44,3,30,1
TOLINSSON Jesper,2020-2021,29,0,16,0
AMBROŽ Filip,2021-2023,22,0,7,0
BENEDIKTSSON Adam Ingi,2021-2024,22,0,9,0
HAMŠÍK Marek,2021,6,1,6,1
JOHANSSON Carl,2021-2023,64,4,45,3
LENNARTSSON Hannes,2021-2022,6,0,0,0
NORLIN Gustaf,2021-2024,154,22,108,16
NYGAARD Alfons,2021-2022,11,1,1,0
SHAMOUN Ishak,2021,1,0,0,0
SIGTHÓRSSON Kolbeinn,2021,21,5,17,4
SÖDERBERG Ole,2021,3,0,0,0
THERN Simon,2021-2023,63,4,41,3
VILAR Bernardo,2021-2022,15,1,6,1
YAKOB Kevin,2021-2022,55,14,38,6
ABDULLAHI Suleiman,2022-,30,1,19,0
AL-AMMARI Amir,2022-2023,20,1,11,0
BÅNGSBO Johan,2022-2024,54,1,38,1
CARLSTRAND Linus,2022-,59,3,36,1
CARNEIL Hussein,2022-,57,3,38,1
ERIKSSON Felix,2022-,15,0,3,0
FINEY Yaqub,2022,2,0,0,0
GHASEM Alai,2022-2024,20,0,8,0
HAHN Warner,2022,31,0,26,0
KUROCHKIN Anton,2022-2023,7,0,0,0
LILLIENBERG Gustav,2022,1,0,0,0
MARKOVIC Eman,2022-,36,5,25,1
PÄRLEHOLT Anton,2022,5,0,0,0
SALAOU Abundance,2022-,36,2,19,0
SALISU Saidu,2022,2,0,1,0
SAMUELSSON Lucas,2022-2023,2,0,0,0
SORGA Erik,2022,15,1,8,1
ADIO OJORA Mustapha,2023,1,0,0,0
BISHESARI Elis,2023-,27,0,16,0
BRODIN Oliwer,2023,1,0,0,0
CARLÉN Adam,2023-,82,4,55,3
HAGEN Elias,2023,26,4,15,1
HAUSNER Sebastian,2023-2024,55,1,37,1
HEED Hampus,2023,2,0,0,0
KHALAF Mohib,2023,1,0,0,0
MATIB Franklin,2023,1,0,0,0
MUCOLLI Arbnor,2023-,37,11,30,8
SANTOS Thomas,2023-,50,6,37,3
SELMANI Astrit,2023,13,1,12,0
SELVÉN Johannes,2023,7,0,0,0
THORDARSON Kolbeinn,2023-,47,5,37,3
THORESON Oliver,2023-,3,0,0,0
TRONDSEN Anders,2023-,51,0,38,0
TYRÉN Vilmer,2023-,7,2,2,0
YALCOUYÉ Malick,2023-2024,20,1,11,1
ABRAHAM Paulos,2024,24,7,22,7
AL-JARAH Mohanad,2024,1,0,0,0
BADEN Nikolai,2024,3,0,3,0
BAGER Jonas,2024-,17,0,12,0
BARLIND Elis,2024-,2,0,0,0
BEQIRI Lion,2024-,7,0,4,0
BORÉN Alfons,2024-,5,0,0,0
BRANTLIND Benjamin,2024-,16,0,1,0
HASANI Jasin,2024,1,0,0,0
JOHANSSON Mattias,2024,7,0,7,0
KARLSTRØM Jacob,2024,14,0,14,0
KOLIQI Melvin,2024-,6,0,1,0
KRISTIANSEN Anders,2024,2,0,1,0
KRUSE David,2024-,16,0,11,0
LUNDQVIST Ramon Pascal,2024-,16,3,13,3
MAGNUSSON Ben,2024-,4,0,0,0
NÅFORS DAHLIN Rasmus,2024-,5,0,0,0
PÉREZ David,2024,1,0,0,0
PETTERSSON Oscar,2024,35,3,23,2
PYNDT Andreas,2024,16,0,10,0
RADAKOVIC Leo,2024-,2,0,0,0
SANDFORD William,2024,1,0,0,0
SKJELLERUP Laurs,2024,26,7,19,4
TOLF Noah,2024-,9,0,2,0
YEBOAH Rockson,2024-,4,0,1,0
CLEMMENSEN Sebastian,2025-,Okänt,0,0,0
HEDMAN Melwin,2025-,1,0,0,0
HEINTZ Tobias,2025-,2,0,0,0
JAGNE Imam,2025-,3,0,0,0
OLOWOPOROKU Ifeoluwa,2025-,1,0,0,0
